City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Jega,NG,12.2175,4.3792,77.67,81,96,0.34,light rain
242,Colac,AU,-38.3333,143.5833,62.15,56,36,9.35,scattered clouds
243,Berlevag,NO,70.8578,29.0864,32.0,62,100,22.03,light snow
244,Alice Springs,AU,-23.7,133.8833,101.75,11,79,13.8,broken clouds
245,Batagay-Alyta,RU,67.8006,130.4114,8.92,91,100,3.87,light snow
246,Kudahuvadhoo,MV,2.6708,72.8944,82.98,72,99,12.53,overcast clouds
247,Ishigaki,JP,24.3448,124.1572,78.13,69,25,15.61,scattered clouds
248,Seoul,KR,37.5683,126.9778,60.19,47,55,10.89,broken clouds
249,Jequie,BR,-13.8575,-40.0836,73.98,82,99,4.47,overcast clouds
250,Abha,SA,18.2164,42.5053,59.25,25,0,6.91,clear sky
251,Namibe,AO,-15.1961,12.1522,61.93,89,37,3.42,scattered clouds
252,Passo De Camaragibe,BR,-9.2368,-35.4901,78.35,93,50,2.46,scattered clouds
253,Sao Filipe,CV,14.8961,-24.4956,79.74,71,0,3.6,clear sky
254,Port Hardy,CA,50.6996,-127.4199,44.98,82,95,7.99,overcast clouds
255,Akyab,MM,20.15,92.9,83.79,77,37,8.77,scattered clouds
256,San Jose,US,37.3394,-121.895,55.31,77,20,6.91,few clouds
257,Muzhi,RU,65.3667,64.6667,33.33,86,94,5.99,overcast clouds
258,Mount Pleasant,US,32.7941,-79.8626,60.01,91,1,0.0,clear sky
259,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,56.26,94,0,3.65,clear sky
260,Tessalit,ML,20.1986,1.0114,76.19,15,1,6.62,clear sky
261,Chone,EC,-0.6833,-80.1,72.27,86,88,4.99,overcast clouds
262,Tual,ID,-5.6667,132.75,84.56,72,75,9.55,broken clouds
263,Vao,NC,-22.6667,167.4833,72.14,91,100,16.31,overcast clouds
264,Shimoda,JP,34.6667,138.95,58.1,90,100,13.87,light rain
265,Dosso,NE,13.049,3.1937,80.47,70,97,5.64,overcast clouds
266,Huarmey,PE,-10.0681,-78.1522,63.41,87,100,7.81,overcast clouds
267,Thinadhoo,MV,0.5333,72.9333,82.49,72,94,9.15,overcast clouds
268,Yen Bai,VN,21.7,104.8667,78.24,67,91,1.88,overcast clouds
269,Saldanha,ZA,-33.0117,17.9442,54.39,67,0,10.67,clear sky
270,Balintore,GB,57.7556,-3.9123,59.02,89,100,8.16,overcast clouds
271,Batticaloa,LK,7.7102,81.6924,85.44,65,63,5.41,broken clouds
272,Carnarvon,AU,-24.8667,113.6333,68.45,59,78,30.98,broken clouds
273,Amboasary,MG,-25.0333,46.3833,74.79,80,77,8.75,light rain
274,Grand Gaube,MU,-20.0064,57.6608,76.37,77,93,11.01,overcast clouds
275,Porto Novo,BJ,6.4965,2.6036,73.87,94,79,3.78,broken clouds
276,Sept-Iles,CA,50.2001,-66.3821,48.72,97,90,5.75,overcast clouds
277,Palmeiras De Goias,BR,-16.805,-49.9258,68.99,92,100,1.21,overcast clouds
278,Esso,RU,55.9333,158.7,24.71,85,76,17.96,light snow
279,Labytnangi,RU,66.6572,66.4183,32.16,88,35,5.41,scattered clouds
280,Muros,ES,42.7762,-9.0603,64.9,93,17,8.03,few clouds
281,Mandera,KE,3.9366,41.867,78.51,66,100,11.18,overcast clouds
282,Anadyr,RU,64.75,177.4833,34.3,93,75,24.0,broken clouds
283,Poddorye,RU,57.4695,31.1156,37.18,94,100,7.25,overcast clouds
284,Esperance,AU,-33.8667,121.9,76.23,49,100,17.63,overcast clouds
285,Panaba,MX,21.2833,-88.2667,74.8,87,58,6.38,broken clouds
286,Manzanares,ES,38.9991,-3.3699,63.03,77,98,3.53,overcast clouds
287,Hami,CN,42.8,93.45,60.3,19,24,4.76,few clouds
288,Flinders,AU,-34.5833,150.8552,65.21,82,92,15.41,light rain
289,Marawi,PH,7.9986,124.2928,77.65,76,57,1.74,broken clouds
290,Haines Junction,CA,60.7522,-137.5108,27.48,66,100,0.78,overcast clouds
291,Kolondieba,ML,11.0882,-6.8926,74.57,67,76,3.69,broken clouds
292,Barsovo,RU,61.1667,73.1667,41.13,93,100,8.05,overcast clouds
293,Lavrentiya,RU,65.5833,-171.0,30.16,90,100,23.55,light snow
294,Hokitika,NZ,-42.7167,170.9667,54.16,90,100,11.07,overcast clouds
295,Hasaki,JP,35.7333,140.8333,63.28,75,100,5.17,moderate rain
296,Carutapera,BR,-1.195,-46.02,77.7,86,13,4.65,few clouds
297,Half Moon Bay,US,37.4636,-122.4286,55.35,82,1,6.91,clear sky
298,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,2.3,overcast clouds
299,Baoqing,CN,46.3317,132.2111,37.92,29,3,11.45,clear sky
300,Kaita,JP,34.3667,132.55,69.35,67,90,7.09,overcast clouds
301,Stromness,GB,58.965,-3.296,57.45,86,100,5.99,overcast clouds
302,Weyburn,CA,49.6668,-103.8511,48.18,59,15,16.96,few clouds
303,Lakatoro,VU,-16.0999,167.4164,79.52,75,94,13.94,heavy intensity rain
304,Ciudad Bolivar,VE,8.1222,-63.5497,80.4,75,50,8.95,scattered clouds
305,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,43,0,10.36,clear sky
306,Gazli,UZ,40.1333,63.45,63.18,19,91,3.36,overcast clouds
307,Kavaratti,IN,10.5669,72.642,81.77,75,100,10.63,overcast clouds
308,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.12,83,35,7.0,scattered clouds
309,Henties Bay,NA,-22.116,14.2845,56.86,87,100,4.12,overcast clouds
310,Salinopolis,BR,-0.6136,-47.3561,79.66,80,30,7.43,scattered clouds
311,Vangaindrano,MG,-23.35,47.6,72.27,77,1,5.77,clear sky
312,Beringovskiy,RU,63.05,179.3167,32.04,95,100,4.63,overcast clouds
313,Srednekolymsk,RU,67.45,153.6833,7.16,91,71,6.15,broken clouds
314,Vostok,RU,46.4856,135.8833,29.82,46,14,7.29,few clouds
315,Guerrero Negro,MX,27.9769,-114.0611,64.92,68,3,14.25,clear sky
316,Meulaboh,ID,4.1363,96.1285,85.05,67,60,7.83,broken clouds
317,Grindavik,IS,63.8424,-22.4338,46.87,76,75,26.46,broken clouds
318,Lotofaga,WS,-13.9764,-171.8578,85.78,80,96,17.94,overcast clouds
319,Khryashchevka,RU,53.8119,49.0916,37.38,68,100,8.46,overcast clouds
320,Airai,TL,-8.9266,125.4092,82.09,35,84,2.24,broken clouds
321,Ulkan,RU,57.243,107.3223,40.59,52,100,7.43,overcast clouds
322,Iquique,CL,-20.2208,-70.1431,59.04,73,53,1.86,broken clouds
323,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,83,11,11.63,few clouds
324,Ilheus,BR,-14.7889,-39.0494,74.07,88,66,5.55,broken clouds
325,Nedjo,ET,9.5046,35.5019,57.24,86,35,2.77,scattered clouds
326,Fortuna,US,40.5982,-124.1573,48.18,73,1,0.0,clear sky
327,Del Rio,US,29.3627,-100.8968,73.51,52,1,9.22,clear sky
328,Esil,KZ,51.9556,66.4042,47.32,50,91,11.07,overcast clouds
329,Manzhouli,CN,49.6,117.4333,39.2,49,0,11.43,clear sky
330,Le Port,RE,-20.9373,55.2919,77.0,70,15,5.17,few clouds
331,Alexandria,EG,31.2156,29.9553,72.32,59,5,8.88,clear sky
332,Brae,GB,60.3964,-1.353,53.51,91,99,16.44,overcast clouds
333,Chicama,PE,-7.8447,-79.1469,64.45,84,100,2.68,overcast clouds
334,Richards Bay,ZA,-28.783,32.0377,57.54,75,13,2.95,few clouds
335,Kastamonu,TR,41.5,33.6667,47.28,90,91,2.98,overcast clouds
336,Antiguo Morelos,MX,22.5495,-99.0812,69.46,90,0,1.83,clear sky
337,Singapore,SG,1.2897,103.8501,89.55,63,75,6.91,broken clouds
338,Tucumcari,US,35.1717,-103.725,65.95,48,1,5.75,clear sky
339,Salalah,OM,17.0151,54.0924,77.09,65,0,1.14,clear sky
340,Vila Velha,BR,-20.3297,-40.2925,71.55,94,75,2.3,mist
341,Port Blair,IN,11.6667,92.75,83.1,77,80,11.12,broken clouds
342,Dalton,US,34.7698,-84.9702,55.02,95,1,0.0,clear sky
343,Watertown,US,42.3709,-71.1828,48.22,76,1,3.0,clear sky
344,Fort Nelson,CA,58.8053,-122.7002,29.61,80,94,3.91,overcast clouds
